iter	Passed	Remaining
936	1745	117
937	1746	115
938	1748	113
939	1750	111
940	1751	109
941	1752	107
942	1753	105
943	1754	104
944	1755	102
945	1756	100
946	1757	98
947	1759	96
948	1760	94
949	1761	92
950	1763	90
951	1764	88
952	1765	87
953	1766	85
954	1768	83
955	1769	81
956	1770	79
957	1771	77
958	1772	75
959	1774	73
960	1775	72
961	1777	70
962	1778	68
963	1779	66
964	1780	64
965	1782	62
966	1783	60
967	1784	58
968	1785	57
969	1786	55
970	1787	53
971	1788	51
972	1789	49
973	1792	47
974	1793	45
975	1794	44
976	1795	42
977	1797	40
978	1798	38
979	1799	36
980	1800	34
981	1802	33
982	1803	31
983	1804	29
984	1805	27
985	1808	25
986	1809	23
987	1810	21
988	1811	20
989	1812	18
990	1813	16
991	1815	14
992	1816	12
993	1818	10
994	1819	9
995	1822	7
996	1823	5
997	1824	3
998	1826	1
999	1828	0
